entry_time,exit_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_gross,cost,pnl_net,rr_actual,result,capital,trend_1d,rsi,rsi_ma
2025-08-06 14:00:00,2025-08-07 21:00:00,LONG,3602.76,3584.02,3883.86,3883.86,TP,1581.41,21.06,1560.35,14.8,WIN,6831.72,bullish,48.3,49.44
2025-08-08 03:00:00,2025-08-08 08:00:00,LONG,3893.67,3887.35,3988.47,3887.35,SL,-63.21,38.91,-102.12,-1.62,LOSS,6729.6,bullish,69.21,72.17
2025-08-08 12:00:00,2025-08-08 13:00:00,LONG,3917.97,3897.41,4226.37,3897.41,SL,-134.59,25.58,-160.17,-1.19,LOSS,6569.43,bullish,64.58,67.93
2025-08-08 17:00:00,2025-08-09 09:00:00,LONG,3970.98,3954.56,4217.28,4217.28,TP,1970.83,32.76,1938.07,14.75,WIN,8507.5,bullish,63.78,65.1
2025-08-09 15:00:00,2025-08-10 08:00:00,LONG,4197.16,4165.55,4671.31,4165.55,SL,-170.15,22.51,-192.66,-1.13,LOSS,8314.84,bullish,68.21,71.6
2025-08-10 13:00:00,2025-08-10 14:00:00,LONG,4201.1,4180.58,4508.9,4180.58,SL,-166.3,33.96,-200.26,-1.2,LOSS,8114.58,bullish,49.84,56.98
2025-08-11 09:00:00,2025-08-11 10:00:00,LONG,4281.77,4273.69,4402.97,4273.69,SL,-87.28,46.21,-133.49,-1.53,LOSS,7981.09,bullish,56.25,59.37
2025-08-11 14:00:00,2025-08-19 14:00:00,LONG,4279.72,4184.09,5714.17,4184.09,SL,-159.62,7.06,-166.69,-1.04,LOSS,7814.4,bullish,55.2,56.07
2025-08-19 18:00:00,2025-08-19 19:00:00,LONG,4186.01,4142.45,4839.41,4142.45,SL,-156.29,14.94,-171.23,-1.1,LOSS,7643.17,bullish,38.22,41.01
2025-08-19 21:00:00,2025-08-19 22:00:00,LONG,4158.94,4142.0,4413.04,4142.0,SL,-152.86,37.45,-190.32,-1.25,LOSS,7452.86,bullish,37.08,40.48
2025-08-20 01:00:00,2025-08-22 14:00:00,LONG,4104.96,4075.58,4545.66,4545.66,TP,2235.86,21.94,2213.91,14.85,WIN,9666.77,bullish,34.57,37.69
